id,name,province,aqhi,observed,observation_datetime_text_en,observation_datetime_text_fr,lon,lat,color
AQ_OBS-FEARV-20260201000000,Sarnia,,2.21,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-82.3177777,42.9813889,#016797
AQ_OBS-IACMP-20260201000000,Edmonton,,2.42,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-113.490277777778,53.5344444444444,#016797
AQ_OBS-IAFYX-20260201000000,Genesee,,2.39,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-114.37,53.3458334,#016797
AQ_OBS-BADSZ-20260201000000,Summerside (Wellington),,1.89,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-64.0,46.45,#0099cb
AQ_OBS-GADMZ-20260201000000,Brandon,,2.17,2026-02-01T00:00:00Z,6:00 PM CST Saturday 31 January 2026,6h00 PM HNC samedi 31 janvier 2026,-99.9522222222222,49.8469444444444,#016797
AQ_OBS-JABNO-20260201000000,Central Fraser Valley,,1.39,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-122.25,49.0583333333333,#0099cb
AQ_OBS-FAMXK-20260201000000,Burlington,,2.84,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.8141666666667,43.37,#016797
AQ_OBS-FCAEN-20260201000000,London,,2.45,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-81.2325,42.9674999,#016797
AQ_OBS-DAFMJ-20260201000000,Fredericton,,2.3,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-66.666667,45.945278,#016797
AQ_OBS-FEVNS-20260201000000,Hamilton,,2.5,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.935,43.242778,#016797
AQ_OBS-HAUQM-20260201000000,Estevan,,2.2,2026-02-01T00:00:00Z,6:00 PM CST Saturday 31 January 2026,6h00 PM HNC samedi 31 janvier 2026,-102.9859847,49.1392833,#016797
AQ_OBS-IAASX-20260201000000,Sturgeon County,,2.06,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-113.3283333,53.8297222,#016797
AQ_OBS-JBTMB-20260201000000,Williams Lake,,1.0,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-122.141666666667,52.1416666666667,#01cbff
AQ_OBS-IABOA-20260201000000,Drayton Valley,,2.6,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-114.9808333,53.2241666,#016797
AQ_OBS-FCGKZ-20260201000000,Oakville,,2.8,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.7138888888889,43.4563888888889,#016797
AQ_OBS-FCCOT-20260201000000,Cornwall,,2.28,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-74.7263889,45.0263889,#016797
AQ_OBS-FEBWC-20260201000000,Kitchener,,2.4,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-80.4727778,43.4186111,#016797
AQ_OBS-JBMPJ-20260201000000,Sparwood,,2.01,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-114.885833,49.733333,#016797
AQ_OBS-FBLJL-20260201000000,Hamilton Downtown,,2.45,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.8418,43.24504,#016797
AQ_OBS-JCVCC-20260201000000,Eastern Fraser Valley,,1.03,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-121.941666666667,49.175,#0099cb
AQ_OBS-CBUCG-20260201000000,Halifax,,2.22,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-63.57392,44.64625,#016797
AQ_OBS-CBLGX-20260201000000,Sydney,,2.24,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-60.1952777777778,46.1380555555556,#016797
AQ_OBS-DBEDJ-20260201000000,Miramichi,,2.12,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-65.4666999,47.0041999,#016797
AQ_OBS-JAFNW-20260201000000,Kamloops,,1.9,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-120.327222222222,50.6733333333333,#0099cb
AQ_OBS-JBXHZ-20260201000000,Metro Vancouver - NE,,1.61,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-122.683333333333,49.2333333333333,#0099cb
AQ_OBS-FDATE-20260201000000,Windsor Downtown,,2.9,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-82.99182,42.3081,#016797
AQ_OBS-CAPHL-20260201000000,Halifax Downtown,,2.47,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-63.590651,44.647401,#016797
AQ_OBS-JAQAL-20260201000000,Nanaimo / Parksville,,1.73,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-123.933333333333,49.1666666666667,#0099cb
AQ_OBS-FAFFD-20260201000000,Barrie,,2.25,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.6769699,44.37124,#016797
AQ_OBS-FCFUU-20260201000000,North Bay,,2.18,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.459167,46.314444,#016797
AQ_OBS-DAEGW-20260201000000,Saint John,,2.33,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-66.0388888888889,45.2591666666667,#016797
AQ_OBS-FDZCP-20260201000000,Sault Ste. Marie,,2.55,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-84.3469444,46.5588888,#016797
AQ_OBS-BAARG-20260201000000,Charlottetown,,2.2,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-63.1347222222222,46.2402777777778,#016797
AQ_OBS-DADHJ-20260201000000,Moncton,,2.41,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-64.803056,46.115833,#016797
AQ_OBS-FEUTC-20260201000000,Chatham,,2.79,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-82.12876,42.43396,#016797
AQ_OBS-JBHJG-20260201000000,South Okanagan,,1.53,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-119.45,49.0333333333333,#0099cb
AQ_OBS-BAEMV-20260201000000,St. Peters Bay,,2.05,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-62.5833333333333,46.4166666666667,#016797
AQ_OBS-FDGED-20260201000000,Newmarket,,2.24,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.4583333333333,44.0580555555556,#016797
AQ_OBS-AADCE-20260201000000,Burin,,2.13,2026-02-01T00:00:00Z,8:30 PM NST Saturday 31 January 2026,8h30 PM HNT samedi 31 janvier 2026,-55.175272,47.082841,#016797
AQ_OBS-FALJI-20260201000000,Brantford,,2.21,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-80.25749,43.1569444,#016797
AQ_OBS-HASIZ-20260201000000,Buffalo Narrows,,1.81,2026-02-01T00:00:00Z,6:00 PM CST Saturday 31 January 2026,6h00 PM HNC samedi 31 janvier 2026,-108.5243083,55.8769833,#0099cb
AQ_OBS-FDQBU-20260201000000,Toronto East,,2.64,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.2308334,43.7558333,#016797
AQ_OBS-IAFFF-20260201000000,Fort McKay,,2.5,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-111.599722222222,57.1811111111111,#016797
AQ_OBS-JAFUV-20260201000000,Central Okanagan,,1.27,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-119.483333333333,49.8833333333333,#0099cb
AQ_OBS-IAIUC-20260201000000,Medicine Hat,,2.5,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-110.676666666667,50.0408333333333,#016797
AQ_OBS-LALNA-20260201000000,Inuvik,,1.0,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-133.7297,68.3609,#01cbff
